"filename", "language", "JSON", "UnityShader", "C#", "UnityAssemblyDefinition", "XML", "Python", "JSON with Comments", "reStructuredText", "Shell Script", "Markdown", "Ini", "C", "Properties", "comment", "blank", "total"
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Editor\WakaTime\client\wakatime\packages\urllib3\util\url.py", "Python", 0, 0, 0, 0, 0, -158, 0, 0, 0, 0, 0, 0, 0, -21, -52, -231
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Editor\WakaTime\client\wakatime\packages\urllib3\util\wait.py", "Python", 0, 0, 0, 0, 0, -32, 0, 0, 0, 0, 0, 0, 0, -2, -7, -41
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Editor\WakaTime\client\wakatime\project.py", "Python", 0, 0, 0, 0, 0, -61, 0, 0, 0, 0, 0, 0, 0, -2, -28, -91
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Editor\WakaTime\client\wakatime\projects\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Editor\WakaTime\client\wakatime\projects\base.py", "Python", 0, 0, 0, 0, 0, -32, 0, 0, 0, 0, 0, 0, 0, -1, -13, -46
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Editor\WakaTime\client\wakatime\projects\git.py", "Python", 0, 0, 0, 0, 0, -104, 0, 0, 0, 0, 0, 0, 0, -1, -24, -129
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Editor\WakaTime\client\wakatime\projects\mercurial.py", "Python", 0, 0, 0, 0, 0, -46, 0, 0, 0, 0, 0, 0, 0, -1, -13, -60
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Editor\WakaTime\client\wakatime\projects\projectfile.py", "Python", 0, 0, 0, 0, 0, -40, 0, 0, 0, 0, 0, 0, 0, -1, -15, -56
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Editor\WakaTime\client\wakatime\projects\projectmap.py", "Python", 0, 0, 0, 0, 0, -51, 0, 0, 0, 0, 0, 0, 0, -1, -20, -72
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Editor\WakaTime\client\wakatime\projects\subversion.py", "Python", 0, 0, 0, 0, 0, -97, 0, 0, 0, 0, 0, 0, 0, -1, -17, -115
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Editor\WakaTime\client\wakatime\session_cache.py", "Python", 0, 0, 0, 0, 0, -87, 0, 0, 0, 0, 0, 0, 0, -1, -25, -113
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Editor\WakaTime\client\wakatime\stats.py", "Python", 0, 0, 0, 0, 0, -247, 0, 0, 0, 0, 0, 0, 0, -8, -83, -338
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Editor\WakaTime\client\wakatime\utils.py", "Python", 0, 0, 0, 0, 0, -77, 0, 0, 0, 0, 0, 0, 0, -1, -19, -97
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Plugins\Sirenix\Assemblies\Sirenix.OdinInspector.Attributes.xml", "XML", 0, 0, 0, 0, -6178, 0, 0, 0, 0, 0, 0, 0, 0, -2, -262, -6442
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Plugins\Sirenix\Assemblies\Sirenix.OdinInspector.Editor.xml", "XML", 0, 0, 0, 0, -11179, 0, 0, 0, 0, 0, 0, 0, 0, 0, -112, -11291
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Plugins\Sirenix\Assemblies\Sirenix.Serialization.Config.xml", "XML", 0, 0, 0, 0, -202, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -203
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Plugins\Sirenix\Assemblies\Sirenix.Serialization.xml", "XML", 0, 0, 0, 0, -9858, 0, 0, 0, 0, 0, 0, 0, 0, 0, -7, -9865
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Plugins\Sirenix\Assemblies\Sirenix.Utilities.Editor.xml", "XML", 0, 0, 0, 0, -9745, 0, 0, 0, 0, 0, 0, 0, 0, -2, -18, -9765
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Plugins\Sirenix\Assemblies\Sirenix.Utilities.xml", "XML", 0, 0, 0, 0, -3710, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, -3714
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Plugins\Sirenix\Assemblies\link.xml", "XML", 0, 0, 0, 0, -6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -6
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Plugins\Sirenix\Odin Inspector\Modules\Unity.Addressables\AddressablesInspectors.cs", "C#", 0, 0, -1181, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -157, -218, -1556
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Plugins\Sirenix\Odin Inspector\Modules\Unity.Addressables\Sirenix.OdinInspector.Modules.Unity.Addressables.asmdef", "UnityAssemblyDefinition", 0, 0, 0, -29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -29
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Plugins\Sirenix\Odin Inspector\Modules\Unity.Addressables\Validators\AssetLabelReferenceValidator.cs", "C#", 0, 0, -71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -9, -14, -94
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Plugins\Sirenix\Odin Inspector\Modules\Unity.Addressables\Validators\AssetReferenceValidator.cs", "C#", 0, 0, -220, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -12, -48, -280
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Plugins\Sirenix\Odin Inspector\Modules\Unity.Addressables\Validators\CheckDuplicateBundleDependenciesValidator.cs", "C#", 0, 0, -157, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -6, -38, -201
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Plugins\Sirenix\Odin Inspector\Modules\Unity.Addressables\Validators\CheckResourcesToAddressableDuplicateDependenciesValidator.cs", "C#", 0, 0, -136, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -5, -30, -171
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Plugins\Sirenix\Odin Inspector\Modules\Unity.Addressables\Validators\DisallowAddressableSubAssetFieldAttributeValidator.cs", "C#", 0, 0, -20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -8, -6, -34
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Plugins\Sirenix\Odin Inspector\Modules\Unity.Addressables\Validators\MissingAddressableGroupReferenceValidator.cs", "C#", 0, 0, -40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -5, -10, -55
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Plugins\Sirenix\Odin Inspector\Modules\Unity.Mathematics\MathematicsDrawers.cs", "C#", 0, 0, -744, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -29, -110, -883
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Plugins\Sirenix\Odin Inspector\Modules\Unity.Mathematics\Sirenix.OdinInspector.Modules.UnityMathematics.asmdef", "UnityAssemblyDefinition", 0, 0, 0, -11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -11
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\StateEffect\Demo.cs", "C#", 0, 0, -33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -28, -61
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\StateEffect\EffectMaterials\Shader\EffectStateColorChange.shader", "UnityShader", 0, -58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -16, -74
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\StateEffect\EffectMaterials\Shader\EffectStateColorNegate.shader", "UnityShader", 0, -61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -14, -75
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\TextMesh Pro\Shaders\TMP_Bitmap-Custom-Atlas.shader", "UnityShader", 0, -109, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -33, -144
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\TextMesh Pro\Shaders\TMP_Bitmap-Mobile.shader", "UnityShader", 0, -112, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, -31, -146
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\TextMesh Pro\Shaders\TMP_Bitmap.shader", "UnityShader", 0, -109, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -33, -144
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\TextMesh Pro\Shaders\TMP_SDF Overlay.shader", "UnityShader", 0, -243, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, -71, -318
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\TextMesh Pro\Shaders\TMP_SDF SSD.shader", "UnityShader", 0, -241, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, -66, -311
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\TextMesh Pro\Shaders\TMP_SDF-Mobile Masking.shader", "UnityShader", 0, -188, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -10, -50, -248
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\TextMesh Pro\Shaders\TMP_SDF-Mobile Overlay.shader", "UnityShader", 0, -183, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -8, -50, -241
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\TextMesh Pro\Shaders\TMP_SDF-Mobile SSD.shader", "UnityShader", 0, -82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, -21, -107
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\TextMesh Pro\Shaders\TMP_SDF-Mobile.shader", "UnityShader", 0, -183, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -8, -50, -241
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\TextMesh Pro\Shaders\TMP_SDF-Surface-Mobile.shader", "UnityShader", 0, -103, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -8, -28, -139
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\TextMesh Pro\Shaders\TMP_SDF-Surface.shader", "UnityShader", 0, -122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, -33, -159
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\TextMesh Pro\Shaders\TMP_SDF.shader", "UnityShader", 0, -243, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, -71, -318
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\TextMesh Pro\Shaders\TMP_Sprite.shader", "UnityShader", 0, -97, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -20, -117
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\TextMesh Pro\Shaders\TMPro.cginc", "UnityShader", 0, -63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -20, -85
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\TextMesh Pro\Shaders\TMPro_Mobile.cginc", "UnityShader", 0, -122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -34, -158
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\TextMesh Pro\Shaders\TMPro_Properties.cginc", "UnityShader", 0, -62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -10, -14, -86
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\TextMesh Pro\Shaders\TMPro_Surface.cginc", "UnityShader", 0, -76, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -7, -19, -102
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\TextMesh Pro\Sprites\EmojiOne.json", "JSON", -155, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -157
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\kyouma0220\RandomDungeonWithBluePrint\Connection.cs", "C#", 0, 0, -16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -18
