"filename", "language", "XML", "C#", "JSON", "JSON with Comments", "UnityShader", "Python", "Markdown", "Database", "Ini", "Properties", "reStructuredText", "C", "Objective-C++", "Shell Script", "comment", "blank", "total"
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Editor\Utilities\SortingLayerEditorUtility.cs", "C#", 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 74
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Editor\View\Editor.View.asmdef", "JSON", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Editor\View\ParticleControllerEditor.cs", "C#", 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 32
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Editor\WakaTime\AssetChangedChecker.cs", "C#", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 28
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Editor\WakaTime\ClientManager.cs", "C#", 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 76
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Editor\WakaTime\Constants.cs", "C#", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Editor\WakaTime\Main.cs", "C#", 0, 154, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 47, 204
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Editor\WakaTime\PythonInstaller.cs", "C#", 0, 91, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24, 116
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Editor\WakaTime\PythonManager.cs", "C#", 0, 127, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 30, 161
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Editor\WakaTime\SceneDirtyChecker.cs", "C#", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 31
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Editor\WakaTime\Window.cs", "C#", 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 46
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Editor\WakaTime\client\HISTORY.rst", "reStructuredText", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 451, 0, 0, 0, 0, 356, 807
