Date : 2024-12-03 18:22:18
Directory : c:\Users\Torte\Documents\Unity\LogRogue
Total : 2354 files,  2703599 codes, 11408 comments, 24838 blanks, all 2739845 lines

Languages
+-------------------------+------------+------------+------------+------------+------------+
| language                | files      | code       | comment    | blank      | total      |
+-------------------------+------------+------------+------------+------------+------------+
| XML                     |      1,087 |  2,524,533 |          4 |        568 |  2,525,105 |
| Python                  |        388 |    111,550 |      7,577 |     13,743 |    132,870 |
| C#                      |        811 |     58,296 |      3,464 |      8,820 |     70,580 |
| C                       |          1 |      2,935 |        265 |        194 |      3,394 |
| UnityShader             |         19 |      2,457 |         82 |        674 |      3,213 |
| JSON                    |          9 |      2,045 |          0 |         60 |      2,105 |
| Markdown                |          6 |        590 |          0 |        350 |        940 |
| reStructuredText        |          2 |        549 |          4 |        400 |        953 |
| UnityAssemblyDefinition |         24 |        443 |          0 |          3 |        446 |
| Shell Script            |          2 |         91 |         12 |         24 |        127 |
| Database                |          1 |         82 |          0 |          0 |         82 |
| JSON with Comments      |          1 |         10 |          0 |          0 |         10 |
| Ini                     |          1 |          7 |          0 |          1 |          8 |
