Date : 2024-09-04 04:25:08
Directory : c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain
Total : 386 files,  10661 codes, 21 comments, 1245 blanks, all 11927 lines

Languages
+-------------------------+------------+------------+------------+------------+------------+
| language                | files      | code       | comment    | blank      | total      |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\Type\EarthType.cs                             | C#                      |          9 |          0 |          0 |          9 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\Type\Eel.cs                                   | C#                      |         21 |          0 |          4 |         25 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\Type\EelType.cs                               | C#                      |         10 |          0 |          0 |         10 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\Type\ElementalOrb.cs                          | C#                      |         21 |          0 |          4 |         25 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\Type\ElementalOrbType.cs                      | C#                      |          8 |          0 |          0 |          8 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\Type\Eye.cs                                   | C#                      |         21 |          0 |          4 |         25 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\Type\EyeBall.cs                               | C#                      |         21 |          0 |          4 |         25 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\Type\EyeBallType.cs                           | C#                      |          9 |          0 |          0 |          9 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\Type\EyeType.cs                               | C#                      |         10 |          0 |          0 |         10 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\Type\Factory.cs                               | C#                      |         21 |          0 |          4 |         25 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\Type\FactoryType.cs                           | C#                      |          8 |          0 |          0 |          8 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\Type\FireSmall.cs                             | C#                      |         21 |          0 |          4 |         25 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\Type\FireSmallType.cs                         | C#                      |          7 |          0 |          0 |          7 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\Type\Fish.cs                                  | C#                      |         21 |          0 |          4 |         25 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\Type\FishType.cs                              | C#                      |          9 |          0 |          0 |          9 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\Type\Frog.cs                                  | C#                      |         21 |          0 |          4 |         25 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\Type\FrogType.cs                              | C#                      |         11 |          0 |          0 |         11 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\Type\Ghast.cs                                 | C#                      |         21 |          0 |          4 |         25 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\Type\GhastType.cs                             | C#                      |          9 |          0 |          0 |          9 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\Type\Gnome.cs                                 | C#                      |         21 |          0 |          4 |         25 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\Type\GnomeType.cs                             | C#                      |          9 |          0 |          0 |          9 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\Type\Goat.cs                                  | C#                      |         21 |          0 |          4 |         25 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\Type\GoatType.cs                              | C#                      |          8 |          0 |          0 |          8 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\Type\Golem.cs                                 | C#                      |         21 |          0 |          4 |         25 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\Type\GolemType.cs                             | C#                      |          7 |          0 |          0 |          7 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\Type\Hare.cs                                  | C#                      |         21 |          0 |          4 |         25 |
