"filename", "language", "C#", "UnityAssemblyDefinition", "comment", "blank", "total"
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Game\MapManager.cs", "C#", -447, 0, -5, -54, -506
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Game\TurnController.cs", "C#", -91, 0, 0, -15, -106
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Game\World.cs", "C#", -161, 0, 0, -24, -185
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Provider\Container.cs", "C#", -61, 0, 0, -3, -64
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Provider\DamagePresenter.cs", "C#", -56, 0, 0, -2, -58
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Provider\DungeonInfoPresenter.cs", "C#", -19, 0, 0, -1, -20
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Provider\GroupMarkerPresenter.cs", "C#", -30, 0, 0, -1, -31
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Provider\InputPresenter.cs", "C#", -54, 0, 0, -5, -59
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Provider\ItemSelectPresenter.cs", "C#", -33, 0, 0, -1, -34
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Provider\KeyCharacterPresenter.cs", "C#", -39, 0, 0, -1, -40
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Provider\LogPresenter.cs", "C#", -23, 0, 0, -2, -25
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Provider\ObjectResolverExtensions.cs", "C#", -13, 0, 0, -1, -14
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Provider\PlayerCameraController.cs", "C#", -19, 0, 0, -1, -20
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Provider\PlayerInventoryPresenter.cs", "C#", -50, 0, 0, -2, -52
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Provider\PlayerPresenter.cs", "C#", -50, 0, 0, -3, -53
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Provider\Presenter.cs", "C#", -53, 0, -3, -4, -60
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Provider\Provider.asmdef", "UnityAssemblyDefinition", 0, -30, 0, 0, -30
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Provider\SettingPresenter.cs", "C#", -31, 0, 0, -1, -32
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Provider\ShopInfoPresenter.cs", "C#", -32, 0, 0, -1, -33
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Provider\SoundPresenter.cs", "C#", -42, 0, 0, -2, -44
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Provider\SynchronizedCharacterView.cs", "C#", -76, 0, 0, -10, -86
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Provider\SynchronizedEntityView.cs", "C#", -52, 0, 0, -8, -60
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Provider\SynchronizedEventEntityView.cs", "C#", -47, 0, 0, -8, -55
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Provider\SynchronizedItemView.cs", "C#", -57, 0, 0, -9, -66
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Provider\TilemapPresenter.cs", "C#", -129, 0, -3, -10, -142
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Utilities\AStarNode.cs", "C#", -44, 0, 0, -11, -55
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Utilities\Angle.cs", "C#", -31, 0, 0, -7, -38
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Utilities\Astar.cs", "C#", -106, 0, 0, -18, -124
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Utilities\BlankFinder.cs", "C#", -46, 0, 0, -5, -51
